lower,VirtualHome2KG
close,close
plugout,plugOut
pour,pour
breatheout,breatheOut
stretch,stretch
break,break
maintain,maintain
move,move
speak,speak
push,push
stir,stir
putin,putIn
eat,eat
pull,pull
stand,stand
wipe,wipe
dive,dive
sew,sew
lift,lift
rinse,rinse
smell,smell
watch,watch
shake,shake
sing,sing
wrap,wrap
cut,cut
put,put
excrete,excrete
plugin,plugIn
jump,jump
throw,throw
grab,grab
walk,walk
pullout,pullOut
sweep,sweep
brush,brush
kneel,kneel
cover,cover
taste,taste
bend,bend
breathein,breatheIn
type,type
carry,carry
pickup,pickUp
write,write
run,run
lie,lie
fold,fold
soak,soak
open,open
unwrap,unwrap
gargle,gargle
crawl,crawl
squeeze,squeeze
twist,twist
drop,drop
turnto,turnTo
unfold,unfold
hit,hit
squat,squat
spit,spit
climbdown,climbDown
tie,tie
uncover,uncover
takeoff,takeOff
swing,swing
sit,sit
scrub,scrub
puton,putOn
drink,drink
pointat,pointAt
listen,listen
touch,touch
standup,standUp
vacuum,vacuum
reach,reach
climb,climb
straddle,straddle
lookat,lookAt
putback,put
putobjback,put
switchon,switchOn
switchoff,switchOff
wakeup,wakeUp